doc_std_name;NumberOfPatentApplications
ZHANG QING;9830
WANG ZHENG;9828
INAX CORP;9815
UNIV YONSEI IACF;9808
XU HUI;9800
ZHOU MINGJIE;9789
KANSAI PAINT CO LTD;9785
YANG JING;9783
ROCKWELL INTERNATIONAL CORP;9765
CHUGAI PHARMACEUTICAL CO LTD;9746
ROLAND MAN DRUCKMASCH;9726
YKK CORP;9721
SEARLE & CO;9711
WANG XU;9699
BAYER IP GMBH;9695
NORTEL NETWORKS LTD;9689
BEIERSDORF AG;9683
BRISTOL MYERS CO;9680
CHEN QIANG;9673
CALIFORNIA INST OF TECHN;9668
BASF CORP;9661
RHONE POULENC CHIMIE;9654
UNIV ELECTRONIC SCI & TECH CHINA;9652
ZHANG JIN;9636
SERVIER LAB;9636
SUN JIAN;9636
DAIFUKU KK;9631
USHIO ELECTRIC INC;9626
OWENS CORNING FIBERGLASS CORP;9621
LIU PING;9619
US HEALTH;9614
MAX PLANCK GESELLSCHAFT;9609
PHILIPS ELECTRONICS NV;9609
WANG NING;9603
SGS THOMSON MICROELECTRONICS;9600
GM GLOBAL TECH OPERATIONS LLC;9591
GUO WEI;9587
ROLLS ROYCE;9587
ALPINE ELECTRONICS INC;9519
AIRBUS OPERATIONS GMBH;9505
SANYO CHEMICAL IND LTD;9493
UOP LLC;9484
UNIV HEFEI TECHNOLOGY;9476
SNAM PROGETTI;9467
INT HARVESTER CO;9462
DELTA ELECTRONICS INC;9443
MAKITA CORP;9438
NHK SPRING CO LTD;9415
KOENIG & BAUER AG;9412
ZHENG WEI;9398
HARRIS CORP;9390
YANG HUI;9390
WANG KE;9361
TOYO SEIKAN KAISHA LTD;9359
ACER INC;9350
LIU MIN;9345
CHINA NAT PETROLEUM CORP;9344
XU LEI;9339
TOYO INK MFG CO;9336
LI YUAN;9312
EXXON CHEMICAL PATENTS INC;9311
ZHUHAI GREE ELEC APPLIANCES;9298
YEDA RES & DEV;9296
ZHAO LEI;9295
KENWOOD CORP;9287
AMADA CO LTD;9264
PRAXAIR TECHNOLOGY INC;9263
KOYO SEIKO CO;9262
EXXONMOBIL CHEM PATENTS INC;9261
TEKTRONIX INC;9260
LIU BING;9252
LI ZHENG;9232
OKI DATA KK;9231
TOKAI RUBBER IND LTD;9224
LUCAS IND PLC;9223
TAIWAN SEMICONDUCTOR MFG CO LTD;9210
GD SPA;9197
SCHLUMBERGER CA LTD;9191
HEIWA CORP;9186
UNITED AIRCRAFT CORP;9178
BAIDU ONLINE NETWORK TECHNOLOGY BEIJING CO LTD;9176
TOKYO OHKA KOGYO CO LTD;9146
COCA COLA CO;9140
OCEANS KING LIGHTING SCIENCE;9139
ZHAO YONG;9112
CIBA GEIGY CORP;9107
NAT INST OF ADVANCED IND SCIEN;9097
YASKAWA ELECTRIC CORP;9092
AKZO NV;9059
LI KAI;9055
SAUDI ARABIAN OIL CO;9039
CHEN YI;9039
WANG SHENG;9038
OHBAYASHI CORP;9037
ZHANG ZHEN;9027
UNIV BEIJING SCIENCE & TECH;9025
MONSANTO CHEMICALS;9018
GEN ELECTRIC CANADA;9009
CHINA NAT OFFSHORE OIL CORP;8994
AGENCY SCIENCE TECH & RES;8992
LI YU;8968
DART IND INC;8958
BRITISH PETROLEUM CO;8937
MACRONIX INT CO LTD;8908
SHINETSU HANDOTAI KK;8906
LI QI;8903
CHINA MOBILE COMM CORP;8893
UNIV HANGZHOU DIANZI;8893
ABB SCHWEIZ AG;8877
UNIV CHINA AGRICULTURAL;8866
UNIV SOUTHWEST PETROLEUM;8858
PITNEY BOWES INC;8843
GIESECKE & DEVRIENT GMBH;8830
UNIVERSAL ENTERTAINMENT CORP;8809
SATO HIROSHI;8804
VERTEX PHARMA;8799
DAEWOO SHIPBUILDING & MARINE;8793
SCANIA CV AB;8785
UOP INC;8784
LIU DONG;8782
UNIV ANHUI SCI & TECHNOLOGY;8778
YANG GUANG;8773
UNIV SHANGHAI SCIENCE & TECH;8769
LG ELECTRONICS TIANJIN;8767
UNIV ELECTRONIC SCIENCE & TECH;8762
FUJI PHOTO OPTICAL CO LTD;8762
YANG MING;8754
LUO TAO;8738
ROCHE DIAGNOSTICS GMBH;8735
GUANGDONG POWER GRID CO;8729
RIETER AG MASCHF;8728
MISAWA HOMES CO;8722
UNIV MICHIGAN;8715
JOHNSON & JOHNSON;8683
SONY ERICSSON MOBILE COMM AB;8681
LUK LAMELLEN & KUPPLUNGSBAU;8681
LU WEI;8674
ZHANG CHENG;8663
UNIV NANJING FORESTRY;8642
RES INST IND SCIENCE & TECH;8629
SOPHIA CO LTD;8628
SCA HYGIENE PROD AB;8617
UNIV XIAMEN;8616
SUZUKI HIROSHI;8615
ZHOU FENG;8611
JAPAN STEEL WORKS LTD;8606
OJI PAPER CO;8600
WANG SHUAI;8589
CHEN PING;8586
TOYOTA JIDOSHOKKI KK;8584
ZHANG KUN;8583
NISSIN ELECTRIC CO LTD;8583
NIPPON SODA CO;8580
HUAWEI DEVICE CO LTD;8561
LI CHENG;8560
NIPPON PAINT CO LTD;8555
WESTINGHOUSE CANADA LTD;8552
ZHANG YUN;8547
YAMAMOTO HIROSHI;8536
BSH HAUSGERAETE GMBH;8512
AUTOLIV DEV;8495
UNIV JILIANG CHINA;8492
ZHANG YUE;8490
MAHLE INT GMBH;8489
SUZUKI MOTOR CORP;8486
LIU JIA;8476
JAPAN AVIATION ELECTRON;8475
NIFCO INC;8474
WANG CHEN;8460
UNIV FLORIDA;8457
WESTINGHOUSE AIR BRAKE CO;8456
TOKICO LTD;8454
UNIV KOREA RES & BUS FOUND;8442
CHINA ELECTRIC POWER RES INST;8438
LI ZHI;8436
JOHNSON MATTHEY PLC;8429
ANHUI JIANGHUAI AUTOMOBILE CO;8416
WISTRON CORP;8413
LIU CHANG;8411
SEMICONDUCTOR MFG INT SHANGHAI;8409
THOMSON BRANDT GMBH;8402
LU JUN;8399
UNIV CHINA THREE GORGES CTGU;8397
CHEN YANG;8395
DYSON TECHNOLOGY LTD;8392
GAO YANG;8387
HUANG YONG;8383
ZHOU JIE;8378
RENAULT SAS;8375
XIE YI;8373
ABB RESEARCH LTD;8361
HUANG JIAN;8358
FOSHAN SHUNDE MIDEA ELECTRICAL HEATING APPLIANCES MFG CO LTD;8338
CHEM IND BASEL;8334
UNIV COLUMBIA;8324
ZHANG NING;8323
ASEA BROWN BOVERI;8319
LI MENG;8319
UNIV CHINA PETROLEUM;8312
ZHAO YAN;8304
ZHOU BIN;8296
LIU ZHEN;8288
PHILIPS INTELLECTUAL PROPERTY;8284
UNIV NINGBO;8267
OSRAM GMBH;8265
JOHNSON & JOHNSON VISION CARE;8261
CHEVRON RES;8259
ZHANG XIANG;8252
SONY COMPUTER ENTERTAINMENT INC;8247
CARDIAC PACEMAKERS INC;8243
ESSILOR INT;8236
WU DI;8228
TOYODA MACHINE WORKS LTD;8220
NORTHERN TELECOM LTD;8220
WANG LU;8217
WANG DAN;8178
UNIV TOHOKU;8177
LI DAN;8169
JOYOUNG CO LTD;8163
CHEN KAI;8151
ROEHM GMBH;8150
TAKEDA PHARMACEUTICAL;8146
ZHAO XIN;8143
TANAKA HIROSHI;8142
AGFA GEVAERT NV;8133
UNIV NANJING AERONAUTICS & ASTRONAUTICS;8132
MITUTOYO CORP;8128
WANG JIANJUN;8128
HARBIN INST TECHNOLOGY;8121
HU WEI;8119
BRITISH AMERICAN TOBACCO CO;8118
SCHLUMBERGER HOLDINGS;8108
LIU FANG;8091
UNITED SHOE MACHINERY AB;8075
GOERTEK INC;8072
LIU QING;8069
LI YUE;8064
SANDVIK INTELLECTUAL PROPERTY;8055
XU JIE;8052
FIRESTONE TIRE & RUBBER CO;8050
DANA CORP;8048
INGERSOLL RAND CO;8043
OWENS ILLINOIS INC;8037
AUTONETWORKS TECHNOLOGIES LTD;8035
WANG XIAO;8035
SHINKO ELECTRIC CO LTD;8033
ITO HIROSHI;8022
LI QIAN;8009
GLOBALFOUNDRIES INC;7998
YANMAR AGRICULT EQUIP;7986
GEELY HOLDING GROUP CO LTD;7977
ST MICROELECTRONICS SA;7975
HAMILTON SUNDSTRAND CORP;7973
CHEIL IND INC;7970
ZHAO JING;7960
MEAD CORP;7958
CHEN CHENG;7955
ALZA CORP;7953
BATTELLE MEMORIAL INSTITUTE;7947
ABB TECHNOLOGY AG;7945
KNORR BREMSE SYSTEME;7943
HUANG HUI;7939
REGENERON PHARMA;7930
TELEFUNKEN PATENT;7908
JUKI KK;7901
NAT SEMICONDUCTOR CORP;7901
BORGWARNER INC;7896
IDEMITSU PETROCHEMICAL CO;7896
ZHOU YU;7891
ASMO CO LTD;7889
UNIV SICHUAN AGRICULTURAL;7886
LENOVO BEIJING LTD;7883
BOSCH SIEMENS HAUSGERAETE;7883
ZHU JUN;7880
ZEON CORP;7878
HU JUN;7871
LI JUAN;7869
JIAN YANG;7866
SATO TAKASHI;7866
PEUGEOT;7857
YANG CHAO;7856
WANG XIANG;7852
ZHOU YAN;7849
WU GANG;7847
GAAL PETER;7842
DELL PRODUCTS LP;7841
LIU LIN;7837
SHINKO ELECTRIC IND CO;7828
CHEN FEI;7813
XU TAO;7806
BAUSCH & LOMB;7802
STANDARD ELEKTRIK LORENZ AG;7799
OLIN CORP;7798
NIPPON SEIKI CO LTD;7796
ELECTROLUX AB;7790
HENKEL & CIE GMBH;7779
TAKAHASHI HIROSHI;7774
RICHTER GEDEON VEGYESZET;7764
CHEN DONG;7729
ASAHI KASEI CHEMICALS CORP;7726
WANG LING;7722
XU YONG;7722
OLYMPUS MEDICAL SYSTEMS CORP;7721
LI NAN;7719
TOPCON CORP;7713
YANG JIAN;7698
HUANG LEI;7695
YASKAWA DENKI SEISAKUSHO KK;7693
CIBA LTD;7681
UNIV CHANGZHOU;7675
CONSEJO SUPERIOR INVESTIGACION;7671
DISCO CORP;7668
LI KE;7662
LELY NV C VAN DER;7643
WANG ZHIQIANG;7641
SECR DEFENCE;7641
ZHANG YUAN;7639
其他发明人请求不公开姓名;7624
IUCF HYU;7619
BAE SYSTEMS PLC;7611
YANG FENG;7609
ZHAO YANG;7605
LIU LIANG;7605
MITSUBISHI PETROCHEMICAL CO;7595
ZHANG LING;7587
DEUTSCHE TELEKOM AG;7586
VOITH GMBH J M;7584
WANG MING;7571
MARS INC;7569
ADVANCED RISC MACH LTD;7569
ALUMINUM CO OF AMERICA;7564
LIU YUAN;7555
HITACHI APPLIANCES INC;7552
HEWLETT PACKARD ENTPR DEV LP;7550
ZHU WEI;7548
KOLON INC;7546
MCNEIL PPC INC;7533
ASTRA AB;7523
KENNAMETAL INC;7518
ZHOU YONG;7517
ZHAO JIAN;7509
ARANYI ERNIE;7508
WANG YUN;7503
ZHAO LIANG;7502
UNIV EAST CHINA SCIENCE & TECH;7485
JAPAN RADIO CO LTD;7479
MIELE & CIE;7477
UNIV OSAKA;7474
METSO PAPER INC;7468
NIPPON DENKI HOME ELECTRONICS;7467
UNIV YANSHAN;7465
SCHAEFFLER TECHNOLOGIES GMBH;7454
UNIV BEIJING POSTS & TELECOMM;7453
WANG TING;7448
RHONE POULENC IND;7447
DISCO ABRASIVE SYSTEMS LTD;7441
ZHAO HUI;7440
NORITSU KOKI CO LTD;7430
LIU KUN;7420
LIU QI;7416
TANAKA PRECIOUS METAL IND;7407
WU TAO;7400
GILEAD SCIENCES INC;7397
JFE STEEL KK;7391
EMC CORP;7387
LI JIANHUA;7381
GAO XIANG;7381
GEN ANILINE & FILM CORP;7375
GLORY KOGYO KK;7373
PO HANG IRON & STEEL;7370
LI JIA;7369
SHIN MEIWA IND CO LTD;7369
XU LI;7354
ANALOG DEVICES INC;7344
SHOWA ELECTRIC WIRE & CABLE CO;7344
ZHANG WEN;7335
UGAWA SHOHACHI;7324
SEMICONDUCTOR ENERGY LAB CO LTD;7314
XU YAN;7313
WATANABE HIROSHI;7307
NOKIA MOBILE PHONES LTD;7300
RISO KAGAKU CORP;7297
UNIV ZHENGZHOU;7290
DUNLOP RUBBER CO;7282
MA LI;7279
SUZUKI KENJI;7279
DRESSER IND;7269
XU LIANG;7268
LI XIA;7267
FICHTEL & SACHS AG;7248
YU BIN;7239
KYORAKU SANGYO CO LTD;7234
SAP AG;7226
UNIV NANJING SCI & TECH;7225
SILVERBROOK RES PTY LTD;7214
LUNDBECK & CO AS H;7212
WUHAN CHINA STAR OPTOELECTRONICS TECHNOLOGY CO LTD;7205
ZHANG LONG;7203
BEIQI FOTON MOTOR CO LTD;7199
PLASSER BAHNBAUMASCH FRANZ;7195
BURROUGHS CORP;7189
OPPO广东移动通信有限公司;7186
COMBUSTION ENG;7185
AVERY DENNISON CORP;7185
AISAN IND;7184
MAX CO LTD;7184
GAO YUAN;7181
AMOREPACIFIC CORP;7180
ZHOU YANG;7180
AMERICAN CAN CO;7177
SINGER CO;7172
WANG ZHE;7168
SCHNEIDER ELECTRIC IND SAS;7165
TYCO ELECTRONICS CORP;7158
WINDMOELLER & HOELSCHER;7156
MITSUBISHI CABLE IND LTD;7152
WU JIE;7147
DONGWOO FINE CHEM CO LTD;7140
UNIV NORTHWESTERN;7130
CHEN HUA;7123
LI CHEN;7111
UNIV SHENZHEN;7106
ZHANG JIANJUN;7100
ZHANG LU;7096
SUZUKI AKIRA;7077
ZHANG MENG;7071
TOKUYAMA CORP;7063
BOEHRINGER SOHN INGELHEIM;7060
ZHOU YI;7058
CHEN QING;7051
ZHOU LEI;7051
KRUPP AG;7046
EMERSON ELECTRIC CO;7044
GORE & ASS;7040
LI LING;7040
SAMMY CORP;7031
NINTENDO CO LTD;7030
ZHAO PENG;7030
BEECHAM GROUP PLC;7029
APPLE COMPUTER;7022
NVIDIA CORP;7015
WHITAKER CORP;7007
YAMAMOTO TAKASHI;7005
ASS ELECT IND;6987
SHIN KOBE ELECTRIC MACHINERY;6981
XU GANG;6978
TAKATA CORP;6977
CHEN QI;6975
ZHAO BIN;6975
FU QIANG;6974
MASTERCARD INTERNATIONAL INC;6973
WANG JUAN;6973
ZHAO FENG;6969
CABOT CORP;6953
GUANGDONG OPPO MOBILE TELECOMM;6940
THOMSON CONSUMER ELECTRONICS;6939
EXXONMOBIL UPSTREAM RES CO;6937
ZHANG DONG;6924
TSUBAKIMOTO CHAIN CO;6921
PASTEUR INSTITUT;6920
BEECHAM GROUP LTD;6920
HU BIN;6907
XU MING;6898
SEKISUI PLASTICS;6890
MATTEL INC;6889
UNIV KYOTO;6885
CHEN MIN;6884
GEWERK EISENHUETTE WESTFALIA;6870
DAIO SEISHI KK;6869
IGT RENO NEV;6865
CHINOIN GYOGYSZER ES VEGYESZET;6856
XU CHAO;6849
ANGANG STEEL CO LTD;6840
JEOL LTD;6839
SCHOTT AG;6835
TYCO HEALTHCARE;6830
UNIV YANGZHOU;6828
ZHANG CHI;6824
UNIV HUNAN;6822
ZHANG KE;6821
VALEO SYSTEMES THERMIQUES;6816
TEVA PHARMA;6816
HTC CORP;6815
KONE CORP;6811
BROSE FAHRZEUGTEILE;6810
HUANG TAO;6809
GEN INSTRUMENT CORP;6809
ZHEJIANG SHAOXING SUPOR DOMESTIC ELECTRICAL APPLIANCE CO LTD;6806
UNION CARBIDE CHEM PLASTIC;6803
VIA TECH INC;6795
ZHANG ZHENG;6786
クゥアルコム・インコーポレイテッドＱＵＡＬＣＯＭＭ ＩＮＣＯＲＰＯＲＡＴＥＤ;6783
GREAT WALL MOTOR CO LTD;6779
SMS DEMAG AG;6777
ZHANG SHUAI;6775
AVENTIS PHARMA SA;6769
XU PENG;6758
LIU XIANG;6750
WACKER CHEMIE AG;6747
NORTON CO;6739
UNIV BEIJING JIAOTONG;6735
KOWA CO;6733
TOYOTA BOSHOKU CORP;6728
CONTINENTAL CAN CO;6727
SEMES CO LTD;6715
JOHNSON CONTROLS TECH CO;6714
LEXMARK INT INC;6713
SANKYO SEIKI SEISAKUSHO KK;6712
HYUNDAI STEEL CO;6710
GE MED SYS GLOBAL TECH CO LLC;6710
KOKUSAI ELECTRIC CO LTD;6706
TOKIN CORP;6697
KANSAI ELECTRIC POWER CO;6697
KOBAYASHI HIROSHI;6691
ATOCHEM ELF SA;6689
ZHANG XIAO;6686
UNIV SUZHOU;6685
LIU RUI;6680
WATANABE TAKASHI;6679
UNIV TAIYUAN TECHNOLOGY;6664
LANDIS & GYR AG;6661
WUHAN IRON & STEEL GROUP CORP;6658
ETHYL CORP;6656
SUZUKI HIROYUKI;6654
NORDSON CORP;6639
HUANG JUN;6639
ZHOU LI;6638
JAPAN SCIENCE & TECH CORP;6636
ZHAO YU;6634
LORENZ C AG;6634
NORITZ CORP;6628
SINGER MFG CO;6627
ZHOU BO;6623
ANRITSU CORP;6620
CHEN WANSHI;6620
SONG WEI;6619
ＪＦＥスチール株式会社;6619
SANDVIK AB;6616
ZHEJIANG GEELY HOLODING GROUP;6616
SUN TAO;6614
ZHANG HENG;6610
ZHANG JIANHUA;6605
DONGBU ELECTRONICS CO LTD;6603
SEKISUI HOUSE KK;6576
LI WEN;6574
WANG ZHIYONG;6573
FREUDENBERG CARL KG;6570
JUJO PAPER CO LTD;6564
MITSUBISHI PENCIL CO;6564
ZHANG BING;6563
ASUSTEK COMP INC;6559
UNIV SOUTHWEST JIAOTONG;6549
YU WEI;6547
MATSUSHITA SEIKO KK;6546
MITSUBISHI HITACHI POWER SYS;6537
NIPPON SIGNAL CO LTD;6519
BEIJING BAIDU NETCOM SCI & TEC;6519
HE JUN;6518
HYUNDAI MICRO ELECTRONICS CO;6517
KRUPP GMBH;6505
DSM NV;6499
DIGITAL EQUIPMENT CORP;6492
ZHANG CHEN;6488
TANAKA HIROYUKI;6487
PHILIPS ELECTRONIC ASSOCIATED;6486
ASAHI KASEI CORP;6486
SHINETSU POLYMER CO;6482
YANG PING;6481
LI ZHIQIANG;6475
SUN JING;6475
MICHELIN SOC TECH;6474
STERLING DRUG INC;6472
XU YANG;6468
NORSK HYDRO AS;6468
YANG XIN;6467
UNIV SHANDONG TECHNOLOGY;6465
YOSHIDA HIROSHI;6462
KOREA MACH & MATERIALS INST;6461
WANG HUAN;6457
ZHAO MING;6441
WU LEI;6439
JIN XIN;6436
EMI LTD;6432
DONGBU HITEK CO LTD;6425
SHELL DEV;6425
ZHANG XIAODONG;6425
WANG YUAN;6422
SONY ELECTRONICS INC;6422
SAMSUNG TECHWIN CO LTD;6421
KOREA ELECTRONICS TECHNOLOGY;6420
WU BO;6420
LI XU;6408
AEROSPATIALE;6402
ZHOU PENG;6400
UNIV MINNESOTA;6388
LOHMANN THERAPIE SYST LTS;6387
YANG YAN;6387
XU BO;6386
UNIV DUKE;6380
HUANG HE;6378
YANG KAI;6377
SCRIPPS RESEARCH INST;6376
GAO JIAN;6376
WANG LIPING;6373
LI KUN;6364
WU YAN;6363
AIRBUS OPERATIONS SAS;6363
UNIV HENAN SCIENCE & TECH;6362
WANG ZHIGANG;6361
ALCON INC;6360
KONICA MINOLTA OPTO INC;6359
TAISHO PHARMA CO LTD;6353
WU JING;6350
JAPAN SYNTHETIC RUBBER CO LTD;6350
GAO BO;6339
VARIAN ASSOCIATES;6337
SABIC GLOBAL TECHNOLOGIES BV;6336
OLIN MATHIESON;6335
OPPO GUANGDONG MOBILE TELECOMMUNICATIONS CO LTD;6331
COMP GENERALE ELECTRICITE;6322
NAKAMURA HIROSHI;6315
UNIV NANCHANG;6311
ENGLISH ELECTRIC CO LTD;6310
EISAI CO LTD;6309
ZHOU XIN;6302
NIPPON LIGHT METAL CO;6289
BOSTON SCIENT LTD;6288
JAGUAR LAND ROVER LTD;6279
GAO FEI;6276
ZHANG NAN;6275
PENTEL KK;6272
UGINE KUHLMANN;6269
ZHANG ZHIQIANG;6268
CHEN XU;6265
VALEO VISION;6264
LUO WEI;6264
UNICHARM CORP;6261
UNIV DONGHUA;6254
ROHM & HAAS ELECT MATERIALS;6253
ALUSUISSE;6248
LIU ZHENG;6246
UNIV CHANGAN;6246
LI XIAO;6245
PFU LTD;6243
PITTSBURGH PLATE GLASS CO;6242
LIU HUA;6242
FORD WERKE AG;6240
UNIV NANJING AERONAUTICS;6239
NIKE INNOVATE CV;6239
GUO LEI;6234
DEUTSCH ZENTR LUFT & RAUMFAHRT;6234
LIU CHENG;6233
QINGDAO HAIER AIR CONDITIONER;6232
YANG HUA;6230
UNIV ILLINOIS;6222
WANG JIANHUA;6221
DOLBY LAB LICENSING CORP;6216
YAHOO INC;6214
NOKIA TELECOMMUNICATIONS OY;6214
CHEN YUN;6213
RAYCHEM CORP;6211
YANG YU;6207
GEELY AUTOMOBILE RES INST ZJ;6207
MAO YUMIN;6190
CREE INC;6190
MANN & HUMMEL GMBH;6177
LI JUNYI;6170
ETHICON LLC;6164
XU QIANG;6162
YU TAO;6150
NIDEC SANKYO CORP;6150
UNIV FOSHAN;6137
SINTOKOGIO LTD;6135
CHINA UNICOM;6133
UNIV QINGDAO SCIENCE & TECH;6132
CHANGAN UNIV;6123
UNIV NORTHWEST A&F;6122
UNIV HEBEI TECHNOLOGY;6121
LIN FENG;6119
ZHAO JIE;6118
WANG LIJUN;6118
ELECTRICITE DE FRANCE;6115
LI XIAODONG;6114
SEIKOSHA KK;6114
;6114
BEIJING JINGDONG SHANGKE INFORMATION TECHNOLOGY CO LTD;6110
ARCELIK AS;6109
SZ DJI TECHNOLOGY CO LTD;6106
MINEBEA CO LTD;6104
BAYER PHARMA AG;6102
HEIDENHAIN GMBH DR JOHANNES;6099
CITROEN SA;6095
DANA FARBER CANCER INST INC;6088
SUN LEI;6085
HORIBA LTD;6082
WANG QIN;6068
INTEL IP CORP;6068
SUN JUN;6057
BEIJING INSTITUTE TECH;6056
SARPERI LUCIANO PIETRO GIACOMO;6054
XIONG WEI;6052
SUN PENG;6049
KONICA MINOLTA MED & GRAPHIC;6048
OKAMURA CORP;6046
PANTECH CO LTD;6038
BEIJING JINGDONG CENTURY TRADING CO LTD;6034
UNIV SOUTH CHINA AGRICULT;6034
AMAZONEN WERKE DREYER H;6034
PURDUE RESEARCH FOUNDATION;6032
MITSUBA CORP;6032
GRUENENTHAL GMBH;6028
BEIJING INST TECHNOLOGY;6027
HUANG YI;6022
PHOENIX CONTACT GMBH & CO;6017
MITSUBISHI AGRICULT MACH;6012
SUN LI;6010
LIU JIANHUA;6004
TAKAHASHI AKIRA;5999
LI HONGWEI;5999
RAILWAY TECHNICAL RES INST;5992
GAO PENG;5989
YAN WEI;5987
OLYMPIA KK;5984
HITACHI ENG CO LTD;5984
LIN WEI;5984
コーニンクレッカ フィリップス エヌ ヴェＫＯＮＩＮＫＬＩＪＫＥ ＰＨＩＬＩＰＳ Ｎ．Ｖ．;5976
XILINX INC;5975
KOHLER CO;5975
KYORAKU SANGYO KK;5974
JATCO LTD;5971
YANG MIN;5971
NIPPON MINING CO;5969
WANG HAITAO;5967
BANDO CHEMICAL IND;5965
EBAY INC;5964
UNIV NORTHWESTERN POLYTECHNICAL;5962
LSIS CO LTD;5960
ZHANG ZHI;5955
LANXESS DEUTSCHLAND GMBH;5951
KOPPERS CO INC;5949
ABBVIE INC;5947
GUO FENG;5937
MITSUBISHI PLASTICS IND;5934
ZHAO BO;5930
RHONE POULENC AGROCHIMIE;5927
YISSUM RES DEV CO;5925
UNIV HENAN POLYTECHNIC;5920
MERRELL DOW PHARMA;5919
ZHAO LI;5914
WANG LONG;5899
LI JIANJUN;5893
SCHLUMBERGER SERVICES PETROL;5889
ZHU LEI;5884
LIU DAN;5884
DRAEGERWERK AG;5883
CHINA SHENHUA ENERGY CO LTD;5871
ZHANG TING;5869
XU XIN;5867
SIEMENS SCHUCKERTWERKE GMBH;5866
BENQ CORP;5864
BEIJING BOE DISPLAY TECH CO;5864
ZHOU HUI;5863
YU BO;5860
CLOUGH JOHN MARTIN;5854
UNIV CHINA GEOSCIENCES WUHAN;5850
BAIC MOTOR CO LTD;5848
JAPAN STORAGE BATTERY CO LTD;5846
CAULDWELL JACK D;5841
CONTINENTAL GUMMI WERKE AG;5839
OUTOKUMPU OY;5834
LUO JUN;5833
UNIV TIANJIN POLYTECHNIC;5823
WU QIANG;5819
XU MIN;5815
BOFORS AB;5814
VORWERK CO INTERHOLDING;5801
HE YONG;5797
JX NIPPON MINING & METALS CORP;5795
HUANG BIN;5786
YANG HONG;5786
BATAAFSCHE PETROLEUM;5785
UNIV NORTHWESTERN POLYTECHNIC;5781
UNITED STATES GYPSUM CO;5780
ATLANTIC RICHFIELD CO;5780
DUNLOP LTD;5780
LI SHENG;5777
SMITH & NEPHEW INC;5773
RHODIA CHIMIE SA;5764
ULVAC CORP;5759
WARSAW ORTHOPEDIC INC;5757
ELPIDA MEMORY INC;5757
HUANG HAO;5755
YANG XIAODONG;5753
TOSHIBA ELEVATOR CO LTD;5752
RHODIA OPERATIONS;5752
HAN WEI;5751
WANG ZHI;5750
SUN JIE;5747
NAKAMURA TAKASHI;5744
YANG HAO;5742
NIPPON OILS & FATS CO LTD;5736
WU FENG;5736
HITACHI ELECTRONICS;5732
LIU NING;5732
THYSSENKRUPP AG;5725
UNIV GUILIN ELECTRONIC TECH;5712
BRAUN AG;5712
CHRYSLER CORP;5711
YANG PENG;5710
FENG WEI;5709
WEATHERFORD LAMB;5707
LIU XU;5705
GAO JUN;5702
SNU R&DB FOUNDATION;5702
SMC CORP;5702
LI FANG;5700
TANABE SEIYAKU CO;5696
SAINT GOBAIN ISOVER;5696
LIU JIN;5695
LI LONG;5693
WU PENG;5685
WANG XIAOJUN;5683
JIANGSU ELECTRIC POWER CO;5681
YANG LIU;5680
WANG HONGWEI;5679
WANG XIAOFENG;5677
KOREA ELECTRIC POWER CORP;5673
LI YUN;5668
YANG QING;5666
WANG XING;5662
BANK OF AMERICA;5662
WANG RONG;5661
ALLIS CHALMERS MFG CO;5660
UNIV NORTH CHINA ELEC POWER;5659
YU LEI;5658
SHI WEI;5654
ZHANG HONGWEI;5653
TANG WEI;5652
WU YONG;5651
GEORGIA TECH RES INST;5650
NASA;5650
SHENZHEN INST OF ADV TECH CAS;5649
LI SONG;5644
KLA TENCOR CORP;5644
WANG YAO;5640
GENZYME CORP;5638
ITO KOJI;5632
BEHRINGWERKE AG;5622
JIANG BO;5617
CHEN ZHIQIANG;5617
ZOOMLION HEAVY IND SCI & TECH;5615
QINGDAO HAIER CO LTD;5615
WANG SONG;5611
KVASENKOV O I;5601
LEAR CORP;5600
GEN MILLS INC;5599
KDDI CORP;5599
LIU LU;5598
UNIV SOOCHOW;5591
CHEN LING;5590
ALTERA CORP;5589
QIZHI SOFTWARE BEIJING CO LTD;5584
SUZUKI TAKESHI;5578
YANG FEI;5578
FUJITA CORP;5575
YAMAMOTO KENJI;5567
ISHIHARA SANGYO KAISHA;5565
TOKYO INST TECH;5564
ZHOU HAO;5563
BRIGHAM & WOMENS HOSPITAL;5562
HUANG JIE;5557
BEHR GMBH & CO KG;5554
HENKEL CORP;5550
SAMSUNG KWANGJU ELECTRONICS CO;5545
YAMADA HIROSHI;5543
KONAMI DIGITAL ENTERTAINMENT;5538
REALTEK SEMICONDUCTOR CORP;5533
XU JIN;5533
HALLIBURTON CO;5533
WANG JIANGUO;5531
CHEN XIANG;5518
GLAXOSMITHKLINE BIOLOG SA;5517
ATOMIC ENERGY COMMISSION;5512
NINGBO FOTILE KITCHEN WARE CO;5512
WU CHAO;5509
POSTECH ACAD IND FOUND;5507
NOKIA SIEMENS NETWORKS OY;5505
WANG JIANPING;5502
MILLENNIUM PHARM INC;5501
SHEN JUN;5501
ZEISS CARL SMT GMBH;5499
VESTAS WIND SYS AS;5499
ICHIKOH INDUSTRIES LTD;5497
WANG XIAOMING;5493
TOYOTA AUTO BODY CO LTD;5492
TAKAHASHI KENJI;5490
PENTAX CORP;5485
ECOLAB USA INC;5484
INOUE HIROSHI;5481
