doc_std_name;NumberOfPatentApplications
WANG MENG;10360
WU JIAN;10358
FANUC CORP;10358
KRONES AG;10356
LI QING;10348
JAPAN DISPLAY INC;10332
ERICSSON INC;10321
GAO WEI;10305
BP CHEM INT LTD;10294
MESSERSCHMITT BOELKOW BLOHM;10281
UNIV ZHEJIANG SCIENCE & TECH;10270
UNIV SUN YAT SEN;10269
CHISSO CORP;10262
TOSHIBA MACHINE CO LTD;10262
FACEBOOK INC;10261
CLARION CO LTD;10257
ZHANG QIAN;10257
XU HAO;10254
LONZA AG;10252
UNIV SHAANXI SCIENCE & TECH;10249
SKF AB;10243
LI ZHEN;10220
YU YANG;10216
ALSTOM TECHNOLOGY LTD;10191
ALLIED CHEM;10187
UNIV BEIJING;10176
WU BIN;10171
AMERICAN HOME PROD;10168
LI FEI;10160
STANDARD OIL DEV CO;10136
XU JING;10136
LIU FEI;10123
TNO;10121
PIONEER CORP;10110
PHILIPS PATENTVERWALTUNG;10089
RINNAI KK;10080
LI JIN;10069
KYOWA HAKKO KOGYO KK;10064
SILVERBROOK KIA;10057
PATENT TREUHAND GES FUER ELEKTRISCHE GLUEHLAMPEN MBH;10042
CHERY AUTOMOBILE CO LTD;10041
JAPAN SCIENCE & TECH AGENCY;10029
CHEN LONG;10013
NOK CORP;10010
UNIV PENNSYLVANIA;10007
NAT INST OF ADV IND & TECHNOL;10002
UNIV FUZHOU;9996
CHEN CHEN;9991
BAOSHAN IRON & STEEL;9989
UNIV GUIZHOU;9989
ZENECA LTD;9987
THOMAE GMBH DR K;9950
SAMSUNG ELECTRONIC;9948
UNIV TOKYO;9924
TAKENAKA KOMUTEN CO;9915
WANG QING;9888
UNIV WASHINGTON;9869
NOVOZYMES AS;9848
